,complex,feature1,feature2,ans
0,0.9547514172779721+2.7355599747166917j,0.954751417,2.735559975,0.000435804
1,0.403375405414086+2.903451275168147j,0.403375405,2.903451275,0.000563854
2,2.6421575951457723+2.278942966522869j,2.642157595,2.278942967,-7.29E-05
3,2.2557375512901+1.967725576820282j,2.255737551,1.967725577,-7.21E-05
4,2.092472245262296+0.7369083599251356j,2.092472245,0.73690836,-0.000489255
5,0.519058366412459+1.3978888720691118j,0.519058366,1.397888872,0.000683299
6,1.6693575454691363+2.5721543600131587j,1.669357545,2.57215436,0.000215137
7,1.8574027872793093+2.7698295753216455j,1.857402787,2.769829575,0.000193203
8,1.2195730743802389+1.1978333898765343j,1.219573074,1.19783339,-1.53E-05
9,0.24714291953753675+2.0829516515399655j,0.24714292,2.082951652,0.000760052
10,0.16695289942127933+2.021995267693941j,0.166952899,2.021995268,0.000847428
11,0.40096981853130587+2.9181548893273868j,0.400969819,2.918154889,0.000563924
12,2.7846503059955454+1.3624161106194213j,2.784650306,1.362416111,-0.000326498
13,0.03139626709771892+0.5518037947595997j,0.031396267,0.551803795,0.000976204
14,1.281311807692322+1.5774823894123688j,1.281311808,1.577482389,0.000142083
15,1.356833193524086+1.5356590263305838j,1.356833194,1.535659026,8.50E-05
16,0.018239797184773976+2.5724745693960367j,0.018239797,2.572474569,0.00080102
17,2.286559371133467+0.3216310908882062j,2.286559371,0.321631091,-0.000647011
18,0.998956475688931+0.6022965899547718j,0.998956476,0.60229659,-0.000789051
19,1.2716306337325434+0.3984930989835944j,1.271630634,0.398493099,-0.000982715
20,0.9321550787403475+2.127989168748845j,0.932155079,2.127989169,0.000415739
21,0.42314503617993304+1.9668363789920253j,0.423145036,1.966836379,0.000622395
22,1.261159011198754+0.2319554856997892j,1.261159011,0.231955486,-0.001204259
23,0.5489226007007953+0.939198007573896j,0.548922601,0.939198008,0.001092711
24,2.5844269146320666+2.380273832591287j,2.584426915,2.380273833,-4.06E-05
25,2.0315773747486157+0.5547249309298488j,2.031577375,0.554724931,-0.000553997
26,2.0734050848656165+1.0376959382005433j,2.073405085,1.037695938,-0.000368499
27,2.837911140453106+1.9083652670219777j,2.83791114,1.908365267,-0.000190043
28,2.992973366365403+1.065924743602113j,2.992973366,1.065924744,-0.000416485
29,1.6538726158786767+0.5107463860013444j,1.653872616,0.510746386,-0.000598216
30,0.3406543829091837+1.9640083729220212j,0.340654383,1.964008373,0.000707771
31,0.6428471292133724+1.913113694916175j,0.642847129,1.913113695,0.000526037
32,1.4428313182520363+2.5813944334861154j,1.442831318,2.581394433,0.000282793
33,1.3563436709849377+1.056980285561609j,1.356343671,1.056980286,-0.000203084
34,2.813658070302194+1.143227985349926j,2.81365807,1.143227985,-0.000388324
35,1.028036732768375+2.074034222470515j,1.028036733,2.074034222,0.00037259
36,1.7541369986373194+2.716938219050923j,1.754136999,2.716938219,0.000212469
37,2.1684684455462797+2.567762209850147j,2.168468446,2.56776221,8.44E-05
38,0.4162794742122067+0.021281129007980293j,0.416279474,0.021281129,-0.000689624
39,2.8310856683754473+0.0779375233285331j,2.831085668,0.077937523,-0.00071363
40,0.33336600650559123+2.2318749453877396j,0.333366007,2.231874945,0.00064839
41,0.6038075023790678+0.7076624721614456j,0.603807502,0.707662472,0.001310184
42,2.1716268518333077+0.9462694757991424j,2.171626852,0.946269476,-0.000412988
43,0.27043467556266676+1.4554983634183283j,0.270434676,1.455498363,0.001015049
44,2.4235487366600563+2.1190580236062564j,2.423548737,2.119058024,-6.85E-05
45,2.778293830438053+1.8796272750903218j,2.77829383,1.879627275,-0.000188829
46,1.6858164882955813+0.10520630944156129j,1.685816488,0.105206309,-0.00104132
47,0.5021633420912042+0.9974859814300432j,0.502163342,0.997485981,0.001110077
48,0.26335283667608433+2.2147356878839064j,0.263352837,2.214735688,0.000711264
49,1.1113559489364027+2.0499791457208842j,1.111355949,2.049979146,0.000334751
